assembly_accession	assembly_level	assembly_submitter	assembly_refseq_category	species_taxid	species_scientific_name	biosample_lat	biosample_lon	biosample_collection_country	is_species_name_binomial	has_biosample_coordinates	has_submitter
GCA_048565435.1	Contig	IDSSE		3239378	Bassozetus sp. 1 HX-2024			China	false	false	true
GCA_048564805.1	Chromosome	IDSSE		3239379	Bassozetus sp. 2 HX-2024			Indian Ocean	false	false	true
GCA_054832375.1	Chromosome	School of Biological and Behavioural Sciences, Queen Mary University of London	reference genome	127305	Batesia hypochlora			Peru	true	false	true
GCA_021031095.1	Scaffold	Field Museum of Natural History	reference genome	2820138	Bathelium albidoporum			Thailand	true	false	true
GCA_964256705.1	Scaffold	Spribille Lab	reference genome	2840191	Bathelium carolinianum	34.35056	-85.67525	USA	true	true	true
GCA_026023875.1	Contig	University of Alberta	reference genome	2939407	Bathelium mastoideum	-19.916667	-54.833333	Brazil	true	true	true
GCA_026054635.1	Contig	University of Alberta		2939407	Bathelium mastoideum	-19.916667	-54.833333	Brazil	true	true	true
GCA_004367955.1	Scaffold	University of Bergen	reference genome	2005485	Bathochordaeus stygius			USA	true	false	true
GCA_053477725.1	Chromosome	Ocean University of China	reference genome	2049241	Bathyacmaea lactea			China	true	false	true
GCA_977020065.1	Scaffold	Ocean University of China		2049241	Bathyacmaea lactea			China	true	false	true
GCA_056644855.1	Scaffold	Iridian Genomes	reference genome	1042431	Bathyaethiops caudomaculatus				true	false	true
GCA_037974585.1	Scaffold	Iridian Genomes	reference genome	1042432	Bathyaethiops greeni				true	false	true
GCA_015104405.1	Scaffold	"""CICHLID~X"""	reference genome	219385	Bathybates fasciatus				true	false	true
GCA_015103315.1	Scaffold	"""CICHLID~X"""		219385	Bathybates fasciatus				true	false	true
GCA_015111595.1	Scaffold	"""CICHLID~X"""	reference genome	27733	Bathybates ferox				true	false	true
GCA_015111555.1	Scaffold	"""CICHLID~X"""		27733	Bathybates ferox				true	false	true
GCA_015102795.1	Scaffold	"""CICHLID~X"""	reference genome	293468	Bathybates graueri				true	false	true
GCA_015104215.1	Scaffold	"""CICHLID~X"""		293468	Bathybates graueri				true	false	true
GCA_015107495.1	Scaffold	"""CICHLID~X"""	reference genome	293471	Bathybates hornii				true	false	true
GCA_015107475.1	Scaffold	"""CICHLID~X"""		293471	Bathybates hornii				true	false	true
GCA_015102875.1	Scaffold	"""CICHLID~X"""	reference genome	293470	Bathybates leo				true	false	true
GCA_015107595.1	Scaffold	"""CICHLID~X"""	reference genome	293467	Bathybates minor				true	false	true
GCA_015106335.1	Scaffold	"""CICHLID~X"""		293467	Bathybates minor				true	false	true
GCA_015107455.1	Scaffold	"""CICHLID~X"""	reference genome	293469	Bathybates vittatus				true	false	true
GCA_015104445.1	Scaffold	"""CICHLID~X"""		293469	Bathybates vittatus				true	false	true
GCA_015107415.1	Scaffold	"""CICHLID~X"""		293469	Bathybates vittatus				true	false	true
GCA_029297815.1	Scaffold	Helmholtz Centre for Environmental Research - UFZ		2922361	Bathycoccaceae sp.			USA	false	false	true
GCA_029297835.1	Scaffold	Helmholtz Centre for Environmental Research - UFZ		2922361	Bathycoccaceae sp.			USA	false	false	true
GCA_029297845.1	Scaffold	Helmholtz Centre for Environmental Research - UFZ		2922361	Bathycoccaceae sp.			USA	false	false	true
GCA_029297885.1	Scaffold	Helmholtz Centre for Environmental Research - UFZ		2922361	Bathycoccaceae sp.			USA	false	false	true
GCA_029297925.1	Scaffold	Helmholtz Centre for Environmental Research - UFZ		2922361	Bathycoccaceae sp.			USA	false	false	true
GCA_029297995.1	Scaffold	Helmholtz Centre for Environmental Research - UFZ		2922361	Bathycoccaceae sp.			USA	false	false	true
GCA_029298105.1	Scaffold	Helmholtz Centre for Environmental Research - UFZ		2922361	Bathycoccaceae sp.				false	false	true
GCA_029298455.1	Scaffold	Helmholtz Centre for Environmental Research - UFZ		2922361	Bathycoccaceae sp.			USA	false	false	true
GCA_963968185.1	Contig	EMG		2922361	Bathycoccaceae sp.	-61.716667	-55.166667	Southern Ocean	false	true	true
GCA_041642835.1	Contig	The Hong Kong University of Science and Technology	reference genome	3126210	Bathycoccus calidus				true	false	true
GCA_041642815.1	Contig	The Hong Kong University of Science and Technology		3126210	Bathycoccus calidus				true	false	true
GCA_041642855.1	Contig	The Hong Kong University of Science and Technology		3126210	Bathycoccus calidus				true	false	true
GCA_041642875.1	Contig	The Hong Kong University of Science and Technology		3126210	Bathycoccus calidus				true	false	true
GCA_041642915.1	Contig	The Hong Kong University of Science and Technology		3126210	Bathycoccus calidus				true	false	true
GCA_002220235.1	Chromosome	Genoscope	reference genome	41875	Bathycoccus prasinos				true	false	true
GCA_029290735.1	Scaffold	Helmholtz Centre for Environmental Research - UFZ		41875	Bathycoccus prasinos			USA	true	false	true
GCA_029290765.1	Scaffold	Helmholtz Centre for Environmental Research - UFZ		41875	Bathycoccus prasinos			USA	true	false	true
GCA_029293465.1	Scaffold	Helmholtz Centre for Environmental Research - UFZ		41875	Bathycoccus prasinos			USA	true	false	true
GCA_041642655.1	Contig	The Hong Kong University of Science and Technology		41875	Bathycoccus prasinos				true	false	true
GCA_041642715.1	Contig	The Hong Kong University of Science and Technology		41875	Bathycoccus prasinos				true	false	true
GCA_041642735.1	Contig	The Hong Kong University of Science and Technology		41875	Bathycoccus prasinos				true	false	true
GCA_041642775.1	Contig	The Hong Kong University of Science and Technology		41875	Bathycoccus prasinos				true	false	true
GCA_043250865.1	Contig	HKUST		41875	Bathycoccus prasinos	22.340883	114.29505	Hong Kong	true	true	true
GCA_963990125.1	Contig	EMG		41875	Bathycoccus prasinos	17.35162	-20.81672	Atlantic Ocean	true	true	true
GCA_963991625.1	Contig	EMG		41875	Bathycoccus prasinos	-40.06269	5.52721	Atlantic Ocean	true	true	true
GCA_963997605.1	Contig	EMG		41875	Bathycoccus prasinos	36.5533	-6.5669		true	true	true
GCA_964003655.1	Contig	EMG		41875	Bathycoccus prasinos	43.7684	-16.9047		true	true	true
GCA_964009985.1	Contig	EMG		41875	Bathycoccus prasinos	-31.0266	4.665		true	true	true
GCA_964011305.1	Contig	EMG		41875	Bathycoccus prasinos	39.0609	5.9422		true	true	true
GCA_964015605.1	Contig	EMG		41875	Bathycoccus prasinos	-45.2974	-48.895983	Atlantic Ocean	true	true	true
GCA_964187115.1	Chromosome	Centre National de la Recherche Scientifique		41875	Bathycoccus prasinos	42.48	3.53	Mediterranean Sea	true	true	true
GCA_964187515.1	Chromosome	Centre National de la Recherche Scientifique		41875	Bathycoccus prasinos	42.48	3.53	Mediterranean Sea	true	true	true
GCA_964187525.1	Chromosome	Centre National de la Recherche Scientifique		41875	Bathycoccus prasinos	48.75	-3.95	Atlantic Ocean	true	true	true
GCA_964187535.1	Chromosome	Centre National de la Recherche Scientifique		41875	Bathycoccus prasinos	67.48	-63.78	Arctic Ocean	true	true	true
GCA_964187545.1	Chromosome	Centre National de la Recherche Scientifique		41875	Bathycoccus prasinos	42.48	3.53	Mediterranean Sea	true	true	true
GCA_964187555.1	Chromosome	Centre National de la Recherche Scientifique		41875	Bathycoccus prasinos	50.2	0.32	Atlantic Ocean	true	true	true
GCA_964187565.1	Chromosome	Centre National de la Recherche Scientifique		41875	Bathycoccus prasinos	42.48	3.53	Mediterranean Sea	true	true	true
GCA_964187575.1	Chromosome	Centre National de la Recherche Scientifique		41875	Bathycoccus prasinos	57.57	8.67	North Sea	true	true	true
GCA_964187585.1	Chromosome	Centre National de la Recherche Scientifique		41875	Bathycoccus prasinos	42.48	3.53	Mediterranean Sea	true	true	true
